id,text,created_at
1218320218155601922,And another one. #nlwx https://t.co/pqE5d59NeE,Fri Jan 17 23:52:29 +0000 2020
1218320204888973319,#nlwx https://t.co/gi5JRfOfqo,Fri Jan 17 23:52:26 +0000 2020
1218320188099170304,Hoping my friends in NL aren’t running out of rum during #nlblizzard2020,Fri Jan 17 23:52:22 +0000 2020
1218320180167823361,As a person who suffers from headaches &amp; migraines incl. and esp. due to barometric pressure and weather fluctuatio… https://t.co/DWsBRqpxnX,Fri Jan 17 23:52:20 +0000 2020
1218320175621165056,Bit blustery round conception bay south Seal Cove #MorganHouse1840 #snowmaggedon2020 #nlstorm #blizzard #nlwhiteout… https://t.co/inZOKkkFQ5,Fri Jan 17 23:52:19 +0000 2020
1218320164623650824,What’s all y’all’s plans for surviving/thriving during #snowmaggedon2020?,Fri Jan 17 23:52:17 +0000 2020
1218320148307816449,"I knew it would be bad...could never imagine the amount of snow...
 #nlwx",Fri Jan 17 23:52:13 +0000 2020
1218320148043571200,Played power outage roulette that paid off with enough soup and caramel corn to last the night #nlwx #nlbaking… https://t.co/O3SJNYbxNx,Fri Jan 17 23:52:13 +0000 2020
1218320131153178626,Just saw 2 folks walking up Torbay Rd in front of Sobey’s/North Atlantic.  Casual stroll I spose #nltraffic,Fri Jan 17 23:52:09 +0000 2020
1218320120583544833,"@user_183 Thanks friends, still hanging on #nlblizzard2020 https://t.co/QzgKuI0sH6",Fri Jan 17 23:52:06 +0000 2020
1218319995177967617,Mom and Dad are zen in the #nlwx storm. https://t.co/xwCuTsp0LI,Fri Jan 17 23:51:36 +0000 2020
1218319979457675264,@user_545 #stjohnsnl #nlblizzard2020 #nlwx #nltraffic https://t.co/JQwT6wIsYb,Fri Jan 17 23:51:33 +0000 2020
1218319931403575297,11 am...4 pm...8 pm ❄ 😳 ❄ The amount of snowfall in this storm is EPIC! We may be able to dig out by April! 😱 #nlwx… https://t.co/ydlV8GSSIv,Fri Jan 17 23:51:21 +0000 2020
1218319918019555328,That's a BIG blizzard.  Check out the photos under the trend #nlblizzard2020 https://t.co/tdpVlejhxq,Fri Jan 17 23:51:18 +0000 2020
1218319893852016642,Twiggy was just chased by geese. Probably sent by @user_1940 to keep us from the show next Saturday at the Paul Noel… https://t.co/i2rtGPawK3,Fri Jan 17 23:51:12 +0000 2020
1218319887782858753,#nlwx https://t.co/CXol5YF3zX,Fri Jan 17 23:51:11 +0000 2020
1218319857994948608,#nlblizzard2020 #snowmaggedon2020 #snowstorm https://t.co/YE6dkBnKqb,Fri Jan 17 23:51:04 +0000 2020
1218319852076699649,Will this be the throw back winter? #nlwx #Newfoundland https://t.co/TGYHUCTVk6,Fri Jan 17 23:51:02 +0000 2020
1218319741162590208,Lonely plow driver just waved to me at corner of Freshwater Rd/Anderson. Feels apocalyptic but oddly calming....… https://t.co/fK1gYz829m,Fri Jan 17 23:50:36 +0000 2020
1218319734002921473,#Wethenorth #nlblizzard2020 https://t.co/cnk5msiVHq,Fri Jan 17 23:50:34 +0000 2020
1218319682597376000,Stay safe NL #Snowmageddon2020 #nlblizzard2020 #stormageddon2020 #nlstorm https://t.co/UuXn7TzLlb,Fri Jan 17 23:50:22 +0000 2020
1218319637139664896,"FEATURED FRIDAY: 709 State of Mind Iceberg. 
https://t.co/UxbMZpv7ga
Designed by Newfoundlanders! Made for EVERYONE… https://t.co/lvHkz7KEZl",Fri Jan 17 23:50:11 +0000 2020
1218319632039383040,Hey @user_2211 can we get some help over here? #nlwx https://t.co/76GUmhpZDx,Fri Jan 17 23:50:10 +0000 2020
1218319630567124992,"After seeing a plow get stuck and turn around first hand, I am so happy they pulled the plows off the street unless needed. Stay safe! #nlwx",Fri Jan 17 23:50:09 +0000 2020
1218319630483316738,For some lighter dog-blizzard-tweeting today... #snowmaggedon2020 #Newfoundland @user_1898 https://t.co/q8OumGcKRc,Fri Jan 17 23:50:09 +0000 2020
1218319610488983552,To hell with flying cars or self-driving cars. I want a car that will scrape off its own snow. #Snowpocalypse2020 https://t.co/YC1cAOUUrb,Fri Jan 17 23:50:05 +0000 2020
1218319584765280258,Wow...Craziest snowstorm ever! Stay safe!  #nlblizzard2020 #isitspringyet #nlstorm #nlwhiteout #blizzard https://t.co/91jPNgk4Za,Fri Jan 17 23:49:58 +0000 2020
1218319422454026241,That's insane!!! #nlblizzard2020 https://t.co/g7RZvcmC5m,Fri Jan 17 23:49:20 +0000 2020
1218319380250943488,This was amazing to watch. Stay safe NL!!! #nlstorm https://t.co/RF9lPK3ti0,Fri Jan 17 23:49:10 +0000 2020
1218319361901023233,Cripes I never hear the wind inside my house. And I just heard a creak upstairs. #nlwx @user_2342,Fri Jan 17 23:49:05 +0000 2020
1218319315524415488,"From sea to sea, it's cold out there... #nlblizzard2020 #BCStorm #extremecold

Do you have your emergency kit ready… https://t.co/PHP7aKazpi",Fri Jan 17 23:48:54 +0000 2020
1218319285866520578,WOW! #nlblizzard2020 https://t.co/761E6eCDp0,Fri Jan 17 23:48:47 +0000 2020
1218319237514760192,"Newfoundland is going to have a sudden spike in population 9 months from now. 

#nlblizzard2020 #Newfoundland… https://t.co/QbHKEegT5R",Fri Jan 17 23:48:36 +0000 2020
1218319213581852672,"To our NL neighbours in the East, we feel your pain.

#nlblizzard2020 

Stay warm,
Your Saskatchewan Friends https://t.co/U4qyhHCIZP",Fri Jan 17 23:48:30 +0000 2020
1218319184570003456,This has never happened in the 10 years we have lived here! #nlwx #nlblizzard2020 #snowmaggedon2020 #nlweather https://t.co/Td84BCdHmB,Fri Jan 17 23:48:23 +0000 2020
1218319170267312129,"Canada OR Oregon this is soooo true!
#oregon #snowday  #Snowpocalypse2020 #oregonlife #momlife #oregonsnow… https://t.co/vrmRZs8r3o",Fri Jan 17 23:48:20 +0000 2020
1218319159278424065,"In this historic and treacherous storm, I've had an opportunity to get back in touch with an age old family traditi… https://t.co/Zv4Rsa6flU",Fri Jan 17 23:48:17 +0000 2020
1218319146301239297,Do not try this at home. #snowmaggedon2020 #nlblizzard2020 https://t.co/LL2TgBf6wl,Fri Jan 17 23:48:14 +0000 2020
1218319144845746176,#nlblizzard2020 https://t.co/Zu7BE1gAZK,Fri Jan 17 23:48:14 +0000 2020
1218319136729767938,"Power outage since 4pm today in Glenonan St (near old Bay Bulls Road).
Hope emergency department/forces keep eye on… https://t.co/ybkMSijw99",Fri Jan 17 23:48:12 +0000 2020
1218319045344276480,"And yes this applies to your laptop, your dashcam, your extra backup batteries, even your car, mechanical or electr… https://t.co/BnZz5jqS7F",Fri Jan 17 23:47:50 +0000 2020
1218319013685710848,"@user_11 @user_2553 It’s now become smow. All is lost (just kidding, Brian). #nlblizzard2020",Fri Jan 17 23:47:42 +0000 2020
1218318987165040640,It's blowing that hard here that Clarenville is likely to be relocated on the west coast of the island tomorrow mor… https://t.co/35XMcJ6Q0G,Fri Jan 17 23:47:36 +0000 2020
1218318939161288704,"So I don't know at what point the wind changed, but we went from an entirely clear door to snow up to the height of… https://t.co/ktYDqzyyNR",Fri Jan 17 23:47:25 +0000 2020
1218318924602925057,"great moments in Canadian broadcasting.

#nlstorm #nlblizzard2020 #MeanwhileInCanada #nlwx https://t.co/vkrFDB35Pa",Fri Jan 17 23:47:21 +0000 2020
1218318885172260864,Je-sus #nlstorm #nlwx #blizzard #snowmaggedon2020 #nlblizzard2020 https://t.co/C4OFkhGGDW,Fri Jan 17 23:47:12 +0000 2020
1218318881825218560,Holy wind in #Goulds! #nlwx #nlblizzard2020 #stormageddon2020 #nlstorm https://t.co/RdtVAUNcRE,Fri Jan 17 23:47:11 +0000 2020
1218318825810268163,"Waist high drift on one side of the house, only a foot on the other #nlwx https://t.co/hoRwMSn7Xj",Fri Jan 17 23:46:57 +0000 2020
1218318807032369157,This door is above ground! #nlwx #nlblizzard2020 @user_545 https://t.co/NVB59Ilzsm,Fri Jan 17 23:46:53 +0000 2020
1218318602605973504,"#Alberta: ""Damn, it's cold!""

#Ontario: ""15cm's of snow?! SNOWMAGEDDON!""

#Newfoundland: https://t.co/uZhWOQ47GS",Fri Jan 17 23:46:04 +0000 2020
1218318598453841921,"I’ve in some pretty intense #storms on #Baffin Island, Greenland and on the #Arctic ocean, but this one is the stro… https://t.co/EPuJ5CQmVc",Fri Jan 17 23:46:03 +0000 2020
1218318581974360065,Our hearts go out to all in the #nlblizzard2020.  Stay strong and safe!!!,Fri Jan 17 23:45:59 +0000 2020
1218318535933546496,We won’t be using this exit anytime soon. #snowdoor #snowmaggedon2020 #nlblizzard2020 #stormageddon2020 https://t.co/NHpeE1NGjB,Fri Jan 17 23:45:48 +0000 2020
1218318393599758338,Stay safe Newfoundlanders!  #Newfoundland #CanadaStrong https://t.co/gBqr1V38or,Fri Jan 17 23:45:14 +0000 2020
1218318390940635137,#GraceandFrankie season 6 released during #snowmaggedon2020 thanks universe :),Fri Jan 17 23:45:14 +0000 2020
1218318376340271104,Whoa. Completely buried in snow. Stay safe NL. #nlwhiteout https://t.co/lFvndfK43P,Fri Jan 17 23:45:10 +0000 2020
1218318326235049985,Thematically appropriate storm jam. #nlwx https://t.co/k9XE9xde9h,Fri Jan 17 23:44:58 +0000 2020
1218318314117697537,Wow.  Stay safe Newfoundlanders - take good care  🇨🇦 #nlwx https://t.co/BfHPlwtJKW,Fri Jan 17 23:44:56 +0000 2020
1218318297571233793,"Welp....since the #Snowpocalypse2020 is quickly upon us, I can watch all my new Netflix shows.",Fri Jan 17 23:44:52 +0000 2020
1218318229661212679,"@user_871 I probably will stay in on #Saturday and, if I do go out this  weekend, it will likely be on #Sunday. #yyzwx… https://t.co/meyWdU5EF6",Fri Jan 17 23:44:35 +0000 2020
1218318110719184897,Hope everyone in #nlblizzard2020 is safe 🙌 https://t.co/GGsy564xW1,Fri Jan 17 23:44:07 +0000 2020
1218318088631996416,"That’s not a snowdrift, THIS is a snowdrift! #nlwx https://t.co/qpl9huC0kH",Fri Jan 17 23:44:02 +0000 2020
1218318086035496960,"I have taken a few measurements at St. John's east. 

Very difficult to get a good measurement with high drifting,… https://t.co/aJcvS0KhVu",Fri Jan 17 23:44:01 +0000 2020
1218318055643676674,@user_1482 This is the type of quality content I come to #nlwx for.  Kudos.,Fri Jan 17 23:43:54 +0000 2020
1218318052888055811,"Never mind the New Year's baby being on the cover of The Herald. It should be this kiddo.

#nlblizzard2020 #nlwx… https://t.co/XWJLLKrs1i",Fri Jan 17 23:43:53 +0000 2020
1218317985787629568,Just went out to clear my propane fireplace exhaust. Standing on a drift here on my front lawn. The dark grey bubbl… https://t.co/SIee9uCWsA,Fri Jan 17 23:43:37 +0000 2020
1218317970323263495,"Can't see out through my front door at all, can't see the end of my driveway as visibility outside is zero. Wind is… https://t.co/FQiy8mx6Ws",Fri Jan 17 23:43:34 +0000 2020
1218317963964637184,#nlblizzard2020 #nlstorm 👇🏻 look at the winds... the gusts are Cat 4 hurricane equivalent 😳 https://t.co/JjFbiMJAdg,Fri Jan 17 23:43:32 +0000 2020
1218317893538131970,Wicked...#stormageddon2020 #nlwx https://t.co/6Utovt8lZx,Fri Jan 17 23:43:15 +0000 2020
1218317880997154816,Our province will make you look like a fool every time. #nlwx #nlblizzicane #snowmaggedon2020 #snowblows https://t.co/sdScqQOQtl,Fri Jan 17 23:43:12 +0000 2020
1218317850324209664,"St. John’s cab drivers advice to fellow residents on As It Happens right now: “if you don’t need to be out, stay ho… https://t.co/2eiZBL14pN",Fri Jan 17 23:43:05 +0000 2020
1218317779209801733,Two amazing videos in one day from @user_282 @user_2680 is killing it! #thanksforthelaughs #snowmaggedon2020 https://t.co/WpBd7r0Whi,Fri Jan 17 23:42:48 +0000 2020
1218317757927895045,Second floor of a house in Kenmount Terrace. This is incredible. #snowmaggedon2020 #nlblizzard2020 #nlwx https://t.co/MqqEkH3NRg,Fri Jan 17 23:42:43 +0000 2020
1218317734863429632,Holy cow! #nlblizzard2020 https://t.co/ZAEnGGYcji,Fri Jan 17 23:42:37 +0000 2020
